"seed","learner","failed","raw_mse","norm_mse","rank_corr","est_sg1","true_sg1","rec_sg1","est_sg2","true_sg2","rec_sg2","est_sg3","true_sg3","rec_sg3","dev_sg3","correct_order","sg3_inflated","topk_overlap","topk_lift","iteration","treatment_rate","n_treated_train","n_treated_test","sg1_n","sg2_n","sg3_n","true_ate","tau_sd"
89,"ols_inter",FALSE,7.225579,1.379162,0.880899,-3.2182,0.6138,-5.243,9.0599,7.5086,1.2066,7.0105,5.9313,1.182,1.0793,TRUE,TRUE,0.875,2.3398,48,0.052,23,3,16,8,13,3.208,2.2515
91,"rlasso",FALSE,5.432267,1.054038,0.746612,4.0127,0.6178,6.4954,5.079,6.9792,0.7277,4.7682,5.765,0.8271,0.9968,TRUE,FALSE,0.25,1.7436,50,0.064,26,6,18,7,10,3.2361,2.288
91,"rboost",FALSE,9.391978,1.822352,NA,5.2581,0.6178,8.5114,5.2581,6.9792,0.7534,5.2581,5.765,0.9121,0.5069,FALSE,FALSE,0,1.5663,50,0.064,26,6,18,7,10,3.2361,2.288
91,"rkern",FALSE,2.355575,0.457059,0.925223,2.6512,0.6178,4.2915,5.1995,6.9792,0.745,4.9628,5.765,0.8609,0.8022,TRUE,FALSE,0.5,2.1375,50,0.064,26,6,18,7,10,3.2361,2.288
91,"slasso",FALSE,2.109092,0.409233,0.893606,1.8092,0.6178,2.9286,6.5601,6.9792,0.94,5.2744,5.765,0.9149,0.4906,TRUE,FALSE,0.375,2.0241,50,0.064,26,6,18,7,10,3.2361,2.288
91,"sboost",FALSE,9.223043,1.789573,0.24771,3.4227,0.6178,5.5404,5.534,6.9792,0.7929,3.9341,5.765,0.6824,1.8309,TRUE,FALSE,0,0.9306,50,0.064,26,6,18,7,10,3.2361,2.288
91,"skern",FALSE,2.919799,0.566537,0.779056,1.0278,0.6178,1.6638,5.5365,6.9792,0.7933,5.1759,5.765,0.8978,0.5891,TRUE,FALSE,0.125,1.7459,50,0.064,26,6,18,7,10,3.2361,2.288
91,"tlasso",FALSE,2.230393,0.43277,0.878777,0.985,0.6178,1.5944,7.0077,6.9792,1.0041,5.3705,5.765,0.9316,0.3945,TRUE,FALSE,0.25,1.9624,50,0.064,26,6,18,7,10,3.2361,2.288
91,"tboost",FALSE,32.722765,6.349292,-0.377722,7.2699,0.6178,11.768,4.7488,6.9792,0.6804,3.1715,5.765,0.5501,2.5935,FALSE,FALSE,0,0.4173,50,0.064,26,6,18,7,10,3.2361,2.288
91,"tkern",FALSE,3.766011,0.73073,0.712268,1.679,0.6178,2.7178,4.9213,6.9792,0.7051,5.093,5.765,0.8834,0.672,FALSE,FALSE,0,1.6312,50,0.064,26,6,18,7,10,3.2361,2.288
91,"xlasso",FALSE,2.912624,0.565145,0.900224,2.7781,0.6178,4.497,6.156,6.9792,0.8821,5.1724,5.765,0.8972,0.5925,TRUE,FALSE,0.5,1.9644,50,0.064,26,6,18,7,10,3.2361,2.288
91,"xboost",FALSE,6.806913,1.320765,0.690918,4.3093,0.6178,6.9756,6.3795,6.9792,0.9141,5.3932,5.765,0.9355,0.3718,TRUE,FALSE,0.375,1.7769,50,0.064,26,6,18,7,10,3.2361,2.288
91,"xkern",FALSE,4.474355,0.868172,0.611213,2.8086,0.6178,4.5464,5.0465,6.9792,0.7231,4.5476,5.765,0.7888,1.2174,TRUE,FALSE,0.125,1.7991,50,0.064,26,6,18,7,10,3.2361,2.288
91,"zero_pred",FALSE,15.258629,2.960676,NA,0,0.6178,0,0,6.9792,0,0,5.765,0,5.765,FALSE,FALSE,0,1.5663,50,0.064,26,6,18,7,10,3.2361,2.288
91,"const_pred",FALSE,107.631083,20.883968,NA,13.3126,0.6178,21.5493,13.3126,6.9792,1.9075,13.3126,5.765,2.3092,7.5476,FALSE,TRUE,0,1.5663,50,0.064,26,6,18,7,10,3.2361,2.288
91,"ols_inter",FALSE,2.120277,0.411403,0.880479,0.896,0.6178,1.4504,6.9616,6.9792,0.9975,5.3259,5.765,0.9238,0.439,TRUE,FALSE,0.375,2.0241,50,0.064,26,6,18,7,10,3.2361,2.288
