"learner","metric","value","metric_group","base_method","meta_type"
"sboost","sign_sg2_ate_q1",0.826087,"sign_recovery","boost","S-learner"
"sboost","sign_sg2_ate_q4",0.73913,"sign_recovery","boost","S-learner"
"sboost","rec_sg1_p10",0.11408,"recovery_ratio_sg1","boost","S-learner"
"sboost","rec_sg1_p25",0.30205,"recovery_ratio_sg1","boost","S-learner"
"sboost","rec_sg1_p50",0.5593,"recovery_ratio_sg1","boost","S-learner"
"sboost","rec_sg1_p75",0.82975,"recovery_ratio_sg1","boost","S-learner"
"sboost","rec_sg1_p90",1.02121,"recovery_ratio_sg1","boost","S-learner"
"sboost","rec_sg2_p10",-0.20967,"recovery_ratio_sg2","boost","S-learner"
"sboost","rec_sg2_p25",0.158175,"recovery_ratio_sg2","boost","S-learner"
"sboost","rec_sg2_p50",0.47955,"recovery_ratio_sg2","boost","S-learner"
"sboost","rec_sg2_p75",0.820425,"recovery_ratio_sg2","boost","S-learner"
"sboost","rec_sg2_p90",1.33616,"recovery_ratio_sg2","boost","S-learner"
"sboost","ate_bias_mean",0.064171,"ate_bias","boost","S-learner"
"sboost","ate_bias_sd",1.02623,"ate_bias","boost","S-learner"
"sboost","bias_sq",1.051542,"other","boost","S-learner"
"sboost","variance",11.737364,"other","boost","S-learner"
"sboost","norm_bias_sq",0.070581,"bias_variance","boost","S-learner"
"sboost","norm_variance",0.795133,"bias_variance","boost","S-learner"
"skern","mse_median",5.102727,"MSE","kernel","S-learner"
"skern","mse_p10",2.450853,"MSE","kernel","S-learner"
"skern","mse_p25",3.532025,"MSE","kernel","S-learner"
"skern","mse_p75",7.158797,"MSE","kernel","S-learner"
"skern","mse_p90",8.970271,"MSE","kernel","S-learner"
"skern","mse_mean",5.596107,"MSE","kernel","S-learner"
"skern","nmse_median",0.335,"nMSE","kernel","S-learner"
"skern","nmse_p10",0.16953,"nMSE","kernel","S-learner"
"skern","nmse_p25",0.228,"nMSE","kernel","S-learner"
"skern","nmse_p75",0.48775,"nMSE","kernel","S-learner"
"skern","nmse_p90",0.6034,"nMSE","kernel","S-learner"
"skern","nmse_mean",0.377611,"nMSE","kernel","S-learner"
"skern","pct_beats_zero",0.98913,"vs_zero_pred","kernel","S-learner"
"skern","pct_worse_zero",0.01087,"vs_zero_pred","kernel","S-learner"
"skern","rank_corr_mean",0.849092,"rank_correlation","kernel","S-learner"
"skern","rank_corr_sd",0.104148,"rank_correlation","kernel","S-learner"
"skern","rank_corr_p10",0.72319,"rank_correlation","kernel","S-learner"
"skern","rank_corr_p50",0.86715,"rank_correlation","kernel","S-learner"
"skern","rank_corr_p90",0.9522,"rank_correlation","kernel","S-learner"
"skern","sign_sg1_rate",0.972826,"sign_recovery","kernel","S-learner"
"skern","sign_sg2_rate",0.88587,"sign_recovery","kernel","S-learner"
"skern","sign_both_rate",0.858696,"sign_recovery","kernel","S-learner"
"skern","sign_sg2_ate_q1",0.956522,"sign_recovery","kernel","S-learner"
"skern","sign_sg2_ate_q4",0.804348,"sign_recovery","kernel","S-learner"
"skern","rec_sg1_p10",0.25673,"recovery_ratio_sg1","kernel","S-learner"
"skern","rec_sg1_p25",0.472825,"recovery_ratio_sg1","kernel","S-learner"
"skern","rec_sg1_p50",0.68045,"recovery_ratio_sg1","kernel","S-learner"
"skern","rec_sg1_p75",0.878125,"recovery_ratio_sg1","kernel","S-learner"
"skern","rec_sg1_p90",1.08251,"recovery_ratio_sg1","kernel","S-learner"
"skern","rec_sg2_p10",-0.07174,"recovery_ratio_sg2","kernel","S-learner"
"skern","rec_sg2_p25",0.24465,"recovery_ratio_sg2","kernel","S-learner"
"skern","rec_sg2_p50",0.55925,"recovery_ratio_sg2","kernel","S-learner"
"skern","rec_sg2_p75",0.933,"recovery_ratio_sg2","kernel","S-learner"
"skern","rec_sg2_p90",1.29461,"recovery_ratio_sg2","kernel","S-learner"
"skern","ate_bias_mean",0.157052,"ate_bias","kernel","S-learner"
"skern","ate_bias_sd",1.032047,"ate_bias","kernel","S-learner"
"skern","bias_sq",1.083997,"other","kernel","S-learner"
"skern","variance",4.51211,"other","kernel","S-learner"
"skern","norm_bias_sq",0.07276,"bias_variance","kernel","S-learner"
"skern","norm_variance",0.304851,"bias_variance","kernel","S-learner"
"slasso","mse_median",6.116207,"MSE","lasso","S-learner"
"slasso","mse_p10",2.767343,"MSE","lasso","S-learner"
"slasso","mse_p25",4.449823,"MSE","lasso","S-learner"
"slasso","mse_p75",9.139487,"MSE","lasso","S-learner"
"slasso","mse_p90",11.783085,"MSE","lasso","S-learner"
"slasso","mse_mean",6.919594,"MSE","lasso","S-learner"
"slasso","nmse_median",0.41675,"nMSE","lasso","S-learner"
"slasso","nmse_p10",0.20462,"nMSE","lasso","S-learner"
"slasso","nmse_p25",0.301175,"nMSE","lasso","S-learner"
"slasso","nmse_p75",0.64265,"nMSE","lasso","S-learner"
"slasso","nmse_p90",0.80053,"nMSE","lasso","S-learner"
"slasso","nmse_mean",0.467364,"nMSE","lasso","S-learner"
"slasso","pct_beats_zero",0.978261,"vs_zero_pred","lasso","S-learner"
"slasso","pct_worse_zero",0.021739,"vs_zero_pred","lasso","S-learner"
